Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Ademir,BAH,Atacante,5.59,2.35,0.0,21
Alejo Véliz,BAH,Atacante,5.8,2.9,1.79,4
Caio Suassuna,BAH,Atacante,2.64,2.0,0.0,1
Cristian Olivera,BAH,Atacante,7.16,4.1,0.0,16
Dell,BAH,Atacante,1.82,0.65,0.0,4
Erick Pulga,BAH,Atacante,7.31,3.64,0.08,21
Everaldo,BAH,Atacante,6.29,4.04,0.0,15
Kauê Furquim,BAH,Atacante,2.24,1.28,0.24,5
Ruan Pablo,BAH,Atacante,1.81,0.0,0.0,1
Sanabria,BAH,Atacante,5.44,2.69,-0.57,14
Willian José,BAH,Atacante,7.29,2.45,0.0,20
Guido Herrera,BAH,Goleiro,6.0,0.0,0.0,0
Iuri,BAH,Goleiro,1.0,0.0,0.0,0
Léo Vieira,BAH,Goleiro,6.82,5.02,0.0,16
Ronaldo,BAH,Goleiro,6.92,5.01,-1.89,13
Victor Nascimento,BAH,Goleiro,1.0,0.0,0.0,0
Luciano Juba,BAH,Lateral,10.35,6.92,-0.91,19
Román Gómez,BAH,Lateral,8.66,5.75,-0.69,8
Zé Guilherme,BAH,Lateral,4.29,2.88,-0.45,5
Acevedo,BAH,Meia,8.76,4.94,1.74,20
Caio Alexandre,BAH,Meia,3.58,1.08,-0.43,13
David Martins,BAH,Meia,0.65,-0.1,0.0,3
Erick,BAH,Meia,5.84,3.56,-0.2,16
Everton Ribeiro,BAH,Meia,8.86,4.48,0.0,16
Jean Lucas,BAH,Meia,10.1,5.34,0.73,19
Michel Araújo,BAH,Meia,2.57,0.93,-0.26,15
Rodrigo Nestor,BAH,Meia,5.9,3.55,-0.2,15
Sidney,BAH,Meia,1.0,0.0,0.0,0
Wendel,BAH,Meia,1.0,0.0,0.0,0
Rogério Ceni,BAH,Técnico,10.37,5.45,-0.24,22
David Duarte,BAH,Zagueiro,6.23,4.25,-0.8,15
Fredi Lippert,BAH,Zagueiro,2.0,0.0,0.0,0
